"id","alimento","energía (Kcal)","proteinas","grasa total","carbohidratos"
167,"Besugo, fresco, crudo, carne",100,20.4,2.0,0.0
168,"Boga, fresca, cruda (carne entre aleta dorsal y ventral)",0,0.0,3.9,0.0
169,"Bonito, fresco, crudo, carne",219,22.0,14.5,0.0
170,"Brótola, fresca, cruda, carne",83,17.6,1.2,0.4
171,"Caballa, fresca, cruda, carne",232,22.0,15.8,0.4
172,"Castañeta, fresca, cruda, entera",170,17.0,11.1,0.5
173,"Castañeta, fresca, cruda, carne",95,18.4,2.3,0.3
174,"Congrio, fresco, crudo, carne",107,17.2,4.0,0.7
175,"Cornalito, fresco, crudo, entero",86,16.0,2.2,0.6
176,"Corvina blanca, fresca, cruda, carne",97,19.5,1.9,0.4
177,"Corvina negra, fresca, cruda, carne",84,18.8,0.8,0.4
178,"Dorado, fresco, crudo (carne entre aleta ventral y dorsal)",0,0.0,2.6,0.0
179,"Dorado, fresco, crudo, carne",80,18.8,0.5,0.1
180,"Gatuso, fresco, crudo, carne",72,17.4,0.2,0.1
181,"Jurel, fresco, crudo, carne",149,19.0,8.0,0.2
182,"Lenguado, fresco, crudo, carne",78,17.5,0.8,0.2
183,"Lisa, fresca, cruda, carne",146,17.9,7.8,1.1
184,"Merluza, fresca, cruda, carne",81,17.1,1.3,0.1
185,"Mero, fresco, crudo, carne",83,17.9,1.0,0.5
186,"Palometa, fresca, cruda, carne",215,20.1,14.8,0.4
187,"Pargo, fresco, crudo, carne",113,19.1,3.9,0.3
188,"Patí, fresco, crudo (carne entre dorsal y ventral)",0,0.0,3.4,0.0
189,"Patí, fresco, crudo, carne",90,18.2,1.8,0.3
190,"Pejerrey agua dulce, fresco, crudo, carne",77,18.3,0.4,0.0
191,"Pejerrey mar, fresco, crudo, carne",86,18.6,1.2,0.2
192,"Pescadilla, fresca, crudo, carne",97,17.8,2.8,0.2
193,"Pez Gallo, fresco, crudo, carne",84,20.2,0.4,0.0
194,"Pez palo, fresco, crudo, carne",96,20.1,1.7,0.0
195,"Rubio, fresco, crudo, carne",109,17.1,4.5,0.0
196,"Sardina fueguina, fresca, cruda, carne",136,14.0,8.9,0.0
197,"Surubí, fresco, crudo, carne zona ventral",0,0.0,1.7,0.0
198,"Surubí, fresco, crudo, carne zona dorsal",0,0.0,0.9,0.0
199,"Surubí, fresco, crudo, carne",110,18.2,4.0,0.2
